contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,symbol,type
IWM251112C00205000,2025-11-07 19:00:01+00:00,205.0,34.12,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00213000,2025-11-06 21:10:01+00:00,213.0,27.81,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00215000,2025-11-07 14:55:23+00:00,215.0,23.75,0.0,0.0,0.0,0.0,16.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00216000,2025-11-07 19:00:01+00:00,216.0,23.15,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00218000,2025-11-07 16:51:05+00:00,218.0,19.23,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00220000,2025-11-07 16:51:05+00:00,220.0,17.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00221000,2025-11-07 14:58:34+00:00,221.0,18.37,0.0,0.0,0.0,0.0,7.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00223000,2025-11-07 14:38:27+00:00,223.0,14.81,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00224000,2025-11-07 14:38:27+00:00,224.0,13.85,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00226000,2025-11-03 16:20:44+00:00,226.0,18.8,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00227000,2025-11-07 15:02:08+00:00,227.0,11.82,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00228000,2025-11-07 19:47:46+00:00,228.0,13.06,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00229000,2025-11-10 19:02:29+00:00,229.0,15.6,0.0,0.0,0.0,0.0,30.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00230000,2025-11-11 20:55:50+00:00,230.0,14.38,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00231000,2025-11-10 15:01:29+00:00,231.0,12.84,0.0,0.0,0.0,0.0,6.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00232000,2025-11-11 14:31:34+00:00,232.0,11.88,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00233000,2025-11-11 18:57:46+00:00,233.0,11.74,0.0,0.0,0.0,0.0,6.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00234000,2025-11-10 18:29:44+00:00,234.0,10.5,0.0,0.0,0.0,0.0,27.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00235000,2025-11-11 18:07:25+00:00,235.0,9.48,0.0,0.0,0.0,0.0,7.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00236000,2025-11-11 19:56:42+00:00,236.0,8.36,0.0,0.0,0.0,0.0,8.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00237000,2025-11-11 20:53:50+00:00,237.0,7.57,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00238000,2025-11-11 20:45:51+00:00,238.0,6.51,0.0,0.0,0.0,0.0,22.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00239000,2025-11-11 20:53:50+00:00,239.0,5.57,0.0,0.0,0.0,0.0,27.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00240000,2025-11-11 21:07:33+00:00,240.0,4.25,0.0,0.0,0.0,0.0,110.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00241000,2025-11-11 21:02:18+00:00,241.0,3.26,0.0,0.0,0.0,0.0,146.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00242000,2025-11-11 21:07:37+00:00,242.0,2.45,0.0,0.0,0.0,0.0,950.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00243000,2025-11-11 21:10:59+00:00,243.0,1.63,0.0,0.0,0.0,0.0,5661.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00244000,2025-11-11 21:14:59+00:00,244.0,1.01,0.0,0.0,0.0,0.0,12998.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00245000,2025-11-11 21:14:33+00:00,245.0,0.55,0.0,0.0,0.0,0.0,14047.0,0.0,0.015634843750000002,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00246000,2025-11-11 21:14:52+00:00,246.0,0.26,0.0,0.0,0.0,0.0,8555.0,0.0,0.0312596875,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00247000,2025-11-11 21:13:55+00:00,247.0,0.11,0.0,0.0,0.0,0.0,6537.0,0.0,0.062509375,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00248000,2025-11-11 21:14:05+00:00,248.0,0.04,0.0,0.0,0.0,0.0,5062.0,0.0,0.062509375,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00249000,2025-11-11 21:07:03+00:00,249.0,0.02,0.0,0.0,0.0,0.0,2458.0,0.0,0.12500875,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00250000,2025-11-11 21:13:30+00:00,250.0,0.01,0.0,0.0,0.0,0.0,807.0,0.0,0.12500875,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00251000,2025-11-11 21:14:51+00:00,251.0,0.01,0.0,0.0,0.0,0.0,204.0,0.0,0.12500875,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00252000,2025-11-11 19:56:40+00:00,252.0,0.01,0.0,0.0,0.0,0.0,597.0,0.0,0.12500875,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00253000,2025-11-11 18:15:41+00:00,253.0,0.01,0.0,0.0,0.0,0.0,493.0,0.0,0.12500875,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00254000,2025-11-11 20:58:17+00:00,254.0,0.01,0.0,0.0,0.0,0.0,31.0,0.0,0.12500875,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00255000,2025-11-11 15:38:56+00:00,255.0,0.01,0.0,0.0,0.0,0.0,40.0,0.0,0.2500075,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00256000,2025-11-11 15:43:57+00:00,256.0,0.01,0.0,0.0,0.0,0.0,2.0,0.0,0.2500075,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00257000,2025-11-11 19:00:18+00:00,257.0,0.01,0.0,0.0,0.0,0.0,9.0,0.0,0.2500075,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00258000,2025-11-11 20:51:25+00:00,258.0,0.01,0.0,0.0,0.0,0.0,3.0,0.0,0.2500075,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00259000,2025-11-10 14:53:18+00:00,259.0,0.01,0.0,0.0,0.0,0.0,20.0,0.0,0.2500075,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00260000,2025-11-10 20:56:26+00:00,260.0,0.01,0.0,0.0,0.0,0.0,21.0,0.0,0.2500075,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00262000,2025-11-11 19:15:40+00:00,262.0,0.01,0.0,0.0,0.0,0.0,2.0,0.0,0.2500075,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00264000,2025-11-06 15:38:19+00:00,264.0,0.01,0.0,0.0,0.0,0.0,,0.0,0.2500075,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00265000,2025-11-06 15:04:42+00:00,265.0,0.01,0.0,0.0,0.0,0.0,,0.0,0.2500075,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00267000,2025-10-30 14:01:07+00:00,267.0,0.12,0.0,0.0,0.0,0.0,,0.0,0.500005,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251112C00276000,2025-11-10 20:49:56+00:00,276.0,0.01,0.0,0.0,0.0,0.0,4.0,0.0,0.500005,0.0,REGULAR,USD,2025-11-12,IWM,call
IWM251113C00180000,2025-11-11 20:19:15+00:00,180.0,64.36,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00205000,2025-11-07 14:42:39+00:00,205.0,32.98,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00215000,2025-11-07 16:52:19+00:00,215.0,22.39,0.0,0.0,0.0,0.0,5.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00217000,2025-11-07 14:31:51+00:00,217.0,21.73,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00219000,2025-11-11 14:31:37+00:00,219.0,24.99,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00220000,2025-11-07 14:53:36+00:00,220.0,18.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00222000,2025-11-06 15:14:30+00:00,222.0,20.92,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00223000,2025-11-07 15:02:08+00:00,223.0,15.77,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00224000,2025-11-07 21:14:48+00:00,224.0,18.14,0.0,0.0,0.0,0.0,13.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00226000,2025-11-07 19:47:47+00:00,226.0,15.03,0.0,0.0,0.0,0.0,8.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00228000,2025-11-07 19:47:47+00:00,228.0,13.16,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00229000,2025-11-07 19:47:46+00:00,229.0,12.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00230000,2025-11-11 20:19:15+00:00,230.0,14.37,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00231000,2025-11-10 17:15:06+00:00,231.0,12.78,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00232000,2025-11-11 15:13:29+00:00,232.0,11.26,0.0,0.0,0.0,0.0,5.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00233000,2025-11-11 16:33:39+00:00,233.0,10.31,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00234000,2025-11-11 20:02:34+00:00,234.0,10.34,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00235000,2025-11-10 18:29:44+00:00,235.0,9.63,0.0,0.0,0.0,0.0,11.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00236000,2025-11-11 20:31:48+00:00,236.0,7.96,0.0,0.0,0.0,0.0,6.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00237000,2025-11-11 15:06:35+00:00,237.0,6.77,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00238000,2025-11-11 20:20:28+00:00,238.0,6.33,0.0,0.0,0.0,0.0,10.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00239000,2025-11-11 17:22:55+00:00,239.0,5.23,0.0,0.0,0.0,0.0,13.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00240000,2025-11-11 20:45:51+00:00,240.0,4.76,0.0,0.0,0.0,0.0,16.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00241000,2025-11-11 20:56:50+00:00,241.0,3.77,0.0,0.0,0.0,0.0,41.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00242000,2025-11-11 21:12:49+00:00,242.0,2.85,0.0,0.0,0.0,0.0,180.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00243000,2025-11-11 21:13:28+00:00,243.0,2.13,0.0,0.0,0.0,0.0,826.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00244000,2025-11-11 21:14:54+00:00,244.0,1.52,0.0,0.0,0.0,0.0,1019.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00245000,2025-11-11 21:14:37+00:00,245.0,1.02,0.0,0.0,0.0,0.0,965.0,0.0,0.015634843750000002,0.0,REGULAR,USD,2025-11-13,IWM,call
IWM251113C00246000,2025-11-11 21:12:59+00:00,246.0,0.66,0.0,0.0,0.0,0.0,571.0,0.0,0.0312596875,0.0,REGULAR,USD,2025-11-13,IWM,call
