contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,symbol,type
IWM251112P00180000,2025-11-06 19:13:33+00:00,180.0,0.01,0.0,0.0,0.0,0.0,8.0,0.0,0.500005,0.0,REGULAR,USD,2025-11-12,IWM,put
IWM251112P00200000,2025-11-07 19:24:57+00:00,200.0,0.01,0.0,0.0,0.0,0.0,4.0,0.0,0.500005,0.0,REGULAR,USD,2025-11-12,IWM,put
IWM251112P00205000,2025-11-11 15:13:01+00:00,205.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,0.0,REGULAR,USD,2025-11-12,IWM,put
IWM251112P00210000,2025-11-07 19:06:51+00:00,210.0,0.02,0.0,0.0,0.0,0.0,640.0,0.0,0.500005,0.0,REGULAR,USD,2025-11-12,IWM,put
IWM251112P00212000,2025-11-07 17:36:38+00:00,212.0,0.04,0.0,0.0,0.0,0.0,695.0,0.0,0.500005,0.0,REGULAR,USD,2025-11-12,IWM,put
IWM251112P00213000,2025-11-07 17:56:15+00:00,213.0,0.05,0.0,0.0,0.0,0.0,691.0,0.0,0.500005,0.0,REGULAR,USD,2025-11-12,IWM,put
IWM251112P00214000,2025-11-10 20:49:56+00:00,214.0,0.01,0.0,0.0,0.0,0.0,44.0,0.0,0.500005,0.0,REGULAR,USD,2025-11-12,IWM,put
IWM251112P00215000,2025-11-10 15:08:15+00:00,215.0,0.01,0.0,0.0,0.0,0.0,10.0,0.0,0.500005,0.0,REGULAR,USD,2025-11-12,IWM,put
IWM251112P00216000,2025-11-07 15:57:29+00:00,216.0,0.08,0.0,0.0,0.0,0.0,272.0,0.0,0.500005,0.0,REGULAR,USD,2025-11-12,IWM,put
IWM251112P00218000,2025-11-06 17:33:33+00:00,218.0,0.09,0.0,0.0,0.0,0.0,,0.0,0.500005,0.0,REGULAR,USD,2025-11-12,IWM,put
