contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,symbol,type
QQQ251112C00525000,2025-11-11 15:11:20+00:00,525.0,95.11,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00565000,2025-11-07 15:28:21+00:00,565.0,41.16,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00570000,2025-11-11 20:26:10+00:00,570.0,52.09,0.0,0.0,0.0,0.0,15.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00575000,2025-11-07 19:30:06+00:00,575.0,30.5,0.0,0.0,0.0,0.0,21.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00580000,2025-11-11 20:30:02+00:00,580.0,41.88,0.0,0.0,0.0,0.0,717.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00585000,2025-11-11 20:32:18+00:00,585.0,36.5,0.0,0.0,0.0,0.0,99.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00590000,2025-11-11 21:13:58+00:00,590.0,31.93,0.0,0.0,0.0,0.0,15.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00595000,2025-11-10 19:44:43+00:00,595.0,27.97,0.0,0.0,0.0,0.0,23.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00596000,2025-11-10 19:04:24+00:00,596.0,25.94,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00597000,2025-11-07 20:23:32+00:00,597.0,13.0,0.0,0.0,0.0,0.0,456.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00598000,2025-11-11 20:03:54+00:00,598.0,23.98,0.0,0.0,0.0,0.0,50.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00599000,2025-11-11 17:12:13+00:00,599.0,20.41,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00600000,2025-11-11 20:47:37+00:00,600.0,22.0,0.0,0.0,0.0,0.0,727.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00601000,2025-11-11 20:57:19+00:00,601.0,20.47,0.0,0.0,0.0,0.0,197.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00602000,2025-11-11 19:00:02+00:00,602.0,21.01,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00603000,2025-11-11 20:57:53+00:00,603.0,18.27,0.0,0.0,0.0,0.0,80.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00604000,2025-11-11 18:59:38+00:00,604.0,18.83,0.0,0.0,0.0,0.0,47.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00605000,2025-11-11 20:52:11+00:00,605.0,17.12,0.0,0.0,0.0,0.0,107.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00606000,2025-11-11 20:51:47+00:00,606.0,16.22,0.0,0.0,0.0,0.0,62.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00607000,2025-11-11 20:33:37+00:00,607.0,15.1,0.0,0.0,0.0,0.0,54.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00608000,2025-11-11 21:01:28+00:00,608.0,13.6,0.0,0.0,0.0,0.0,99.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
QQQ251112C00609000,2025-11-11 20:47:06+00:00,609.0,12.99,0.0,0.0,0.0,0.0,128.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,QQQ,call
