contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,symbol,type
SPY251112C00500000,2025-11-07 20:21:02+00:00,500.0,168.7,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00585000,2025-11-11 15:46:15+00:00,585.0,94.45,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00590000,2025-10-31 13:35:15+00:00,590.0,95.1,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00595000,2025-11-11 16:03:51+00:00,595.0,84.55,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00600000,2025-11-07 16:29:38+00:00,600.0,63.27,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00605000,2025-11-11 14:33:27+00:00,605.0,75.31,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00610000,2025-11-11 16:53:28+00:00,610.0,70.71,0.0,0.0,0.0,0.0,57.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00615000,2025-11-11 15:25:33+00:00,615.0,64.62,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00620000,2025-11-11 19:24:45+00:00,620.0,63.0,0.0,0.0,0.0,0.0,138.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00625000,2025-11-11 16:59:55+00:00,625.0,54.89,0.0,0.0,0.0,0.0,228.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00630000,2025-11-11 18:24:47+00:00,630.0,52.87,0.0,0.0,0.0,0.0,310.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00635000,2025-11-07 18:24:11+00:00,635.0,30.6,0.0,0.0,0.0,0.0,16.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00640000,2025-11-11 21:10:37+00:00,640.0,43.24,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00645000,2025-11-11 18:58:29+00:00,645.0,38.34,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00650000,2025-11-11 21:06:06+00:00,650.0,33.01,0.0,0.0,0.0,0.0,34.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00651000,2025-11-07 21:00:00+00:00,651.0,20.87,0.0,0.0,0.0,0.0,40.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00652000,2025-11-11 17:37:42+00:00,652.0,30.12,0.0,0.0,0.0,0.0,9.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00653000,2025-11-11 18:41:07+00:00,653.0,30.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00654000,2025-11-11 18:28:26+00:00,654.0,29.4,0.0,0.0,0.0,0.0,8.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00655000,2025-11-11 16:29:35+00:00,655.0,24.85,0.0,0.0,0.0,0.0,10.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00656000,2025-11-10 19:39:10+00:00,656.0,24.97,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
SPY251112C00657000,2025-11-11 17:03:20+00:00,657.0,23.11,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-11-12,SPY,call
