contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,symbol,type
SPY251112P00500000,2025-11-10 20:56:50+00:00,500.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00505000,2025-11-07 14:50:23+00:00,505.0,0.02,0.0,0.0,0.0,0.0,1009.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00510000,2025-11-07 15:05:40+00:00,510.0,0.01,0.0,0.0,0.0,0.0,5.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00515000,2025-11-04 15:31:15+00:00,515.0,0.02,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00520000,2025-11-06 14:31:06+00:00,520.0,0.01,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00525000,2025-11-07 20:15:44+00:00,525.0,0.01,0.0,0.0,0.0,0.0,200.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00530000,2025-11-06 14:40:56+00:00,530.0,0.02,0.0,0.0,0.0,0.0,1012.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00535000,2025-11-03 14:35:39+00:00,535.0,0.02,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00545000,2025-11-07 15:55:37+00:00,545.0,0.02,0.0,0.0,0.0,0.0,96.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00550000,2025-11-10 14:30:00+00:00,550.0,0.01,0.0,0.0,0.0,0.0,8.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00555000,2025-11-07 21:10:00+00:00,555.0,0.01,0.0,0.0,0.0,0.0,59.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00560000,2025-11-07 19:34:06+00:00,560.0,0.03,0.0,0.0,0.0,0.0,10.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00565000,2025-11-07 21:07:11+00:00,565.0,0.01,0.0,0.0,0.0,0.0,13.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00570000,2025-11-10 16:52:21+00:00,570.0,0.01,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00575000,2025-11-10 20:59:05+00:00,575.0,0.01,0.0,0.0,0.0,0.0,136.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00580000,2025-11-10 21:14:51+00:00,580.0,0.02,0.0,0.0,0.0,0.0,108.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00585000,2025-11-10 21:13:51+00:00,585.0,0.01,0.0,0.0,0.0,0.0,17.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00590000,2025-11-10 15:16:25+00:00,590.0,0.01,0.0,0.0,0.0,0.0,20.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00595000,2025-11-10 21:03:30+00:00,595.0,0.01,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00600000,2025-11-10 20:22:53+00:00,600.0,0.01,0.0,0.0,0.0,0.0,183.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00605000,2025-11-10 21:03:41+00:00,605.0,0.02,0.0,0.0,0.0,0.0,169.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00610000,2025-11-11 15:07:45+00:00,610.0,0.01,0.0,0.0,0.0,0.0,64.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00615000,2025-11-11 16:42:24+00:00,615.0,0.01,0.0,0.0,0.0,0.0,527.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00620000,2025-11-11 18:38:00+00:00,620.0,0.01,0.0,0.0,0.0,0.0,221.0,0,0.500005,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00625000,2025-11-11 20:48:16+00:00,625.0,0.01,0.0,0.0,0.0,0.0,115.0,0,0.2500075,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00630000,2025-11-11 20:45:03+00:00,630.0,0.01,0.0,0.0,0.0,0.0,112.0,0,0.2500075,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00635000,2025-11-11 20:43:59+00:00,635.0,0.01,0.0,0.0,0.0,0.0,837.0,0,0.2500075,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00640000,2025-11-11 20:59:01+00:00,640.0,0.01,0.0,0.0,0.0,0.0,1338.0,0,0.2500075,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00645000,2025-11-11 20:09:10+00:00,645.0,0.01,0.0,0.0,0.0,0.0,5385.0,0,0.2500075,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00650000,2025-11-11 21:01:20+00:00,650.0,0.02,0.0,0.0,0.0,0.0,1066.0,0,0.2500075,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00651000,2025-11-11 19:43:59+00:00,651.0,0.01,0.0,0.0,0.0,0.0,673.0,0,0.2500075,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00652000,2025-11-11 19:21:18+00:00,652.0,0.02,0.0,0.0,0.0,0.0,648.0,0,0.2500075,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00653000,2025-11-11 19:21:28+00:00,653.0,0.02,0.0,0.0,0.0,0.0,321.0,0,0.2500075,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00654000,2025-11-11 21:01:19+00:00,654.0,0.01,0.0,0.0,0.0,0.0,635.0,0,0.12500875,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00655000,2025-11-11 21:05:41+00:00,655.0,0.02,0.0,0.0,0.0,0.0,1698.0,0,0.12500875,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00656000,2025-11-11 21:02:48+00:00,656.0,0.02,0.0,0.0,0.0,0.0,1151.0,0,0.12500875,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00657000,2025-11-11 21:09:58+00:00,657.0,0.02,0.0,0.0,0.0,0.0,759.0,0,0.12500875,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00658000,2025-11-11 21:05:33+00:00,658.0,0.02,0.0,0.0,0.0,0.0,1225.0,0,0.12500875,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00659000,2025-11-11 21:04:40+00:00,659.0,0.03,0.0,0.0,0.0,0.0,630.0,0,0.12500875,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00660000,2025-11-11 21:13:59+00:00,660.0,0.02,0.0,0.0,0.0,0.0,1844.0,0,0.12500875,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00661000,2025-11-11 20:05:10+00:00,661.0,0.03,0.0,0.0,0.0,0.0,1108.0,0,0.12500875,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00662000,2025-11-11 21:09:03+00:00,662.0,0.03,0.0,0.0,0.0,0.0,2278.0,0,0.12500875,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00663000,2025-11-11 21:14:58+00:00,663.0,0.03,0.0,0.0,0.0,0.0,1657.0,0,0.12500875,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00664000,2025-11-11 21:01:25+00:00,664.0,0.03,0.0,0.0,0.0,0.0,2454.0,0,0.12500875,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00665000,2025-11-11 21:14:16+00:00,665.0,0.04,0.0,0.0,0.0,0.0,6344.0,0,0.12500875,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00666000,2025-11-11 21:14:27+00:00,666.0,0.04,0.0,0.0,0.0,0.0,3997.0,0,0.12500875,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00667000,2025-11-11 21:14:09+00:00,667.0,0.04,0.0,0.0,0.0,0.0,7934.0,0,0.12500875,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00668000,2025-11-11 21:14:51+00:00,668.0,0.06,0.0,0.0,0.0,0.0,11378.0,0,0.12500875,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00669000,2025-11-11 21:14:03+00:00,669.0,0.07,0.0,0.0,0.0,0.0,15061.0,0,0.12500875,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00670000,2025-11-11 21:14:10+00:00,670.0,0.08,0.0,0.0,0.0,0.0,24169.0,0,0.062509375,False,REGULAR,USD,2025-11-12,SPY,put
SPY251112P00671000,2025-11-11 21:14:52+00:00,671.0,0.1,0.0,0.0,0.0,0.0,16511.0,0,0.062509375,False,REGULAR,USD,2025-11-12,SPY,put
